Job_ID,Machine_ID,Job_Status,Energy_Consumption,pred_abnormal_prob,orig_Scheduled_start,orig_Scheduled_end,priority_score,optimized_start,optimized_end,Processing_Time
J001,M01,Completed,11.42,0.0,2023-03-18 08:00:00,2023-03-18 09:16:00,,2023-03-18 08:00:00,2023-03-18 09:16:00,76.0
J002,M01,Delayed,6.61,1.0,2023-03-18 08:10:00,2023-03-18 09:29:00,,2023-03-18 09:16:00,2023-03-18 10:35:00,79.0
J005,M01,Completed,8.13,0.0,2023-03-18 08:40:00,2023-03-18 09:26:00,,2023-03-18 10:35:00,2023-03-18 11:21:00,46.0
J010,M01,Delayed,3.66,0.9933333333333333,2023-03-18 09:30:00,2023-03-18 09:57:00,,2023-03-18 11:21:00,2023-03-18 11:48:00,27.0
J011,M01,Completed,9.98,0.0,2023-03-18 09:40:00,2023-03-18 10:45:00,,2023-03-18 11:48:00,2023-03-18 12:53:00,65.0
J016,M01,Completed,12.29,0.0,2023-03-18 10:30:00,2023-03-18 11:35:00,,2023-03-18 12:53:00,2023-03-18 13:58:00,65.0
J023,M01,Completed,13.49,0.0,2023-03-18 11:40:00,2023-03-18 13:18:00,,2023-03-18 13:58:00,2023-03-18 15:36:00,98.0
J026,M01,Completed,3.89,0.0,2023-03-18 12:10:00,2023-03-18 12:31:00,,2023-03-18 15:36:00,2023-03-18 15:57:00,21.0
J034,M01,Delayed,12.52,0.9933333333333333,2023-03-18 13:30:00,2023-03-18 15:20:00,,2023-03-18 15:57:00,2023-03-18 17:47:00,110.0
J037,M01,Completed,13.17,0.0,2023-03-18 14:00:00,2023-03-18 15:19:00,,2023-03-18 17:47:00,2023-03-18 19:06:00,79.0
J038,M01,Completed,4.98,0.0,2023-03-18 14:10:00,2023-03-18 14:53:00,,2023-03-18 19:06:00,2023-03-18 19:49:00,43.0
J040,M01,Completed,9.94,0.0,2023-03-18 14:30:00,2023-03-18 15:20:00,,2023-03-18 19:49:00,2023-03-18 20:39:00,50.0
J050,M01,Delayed,3.09,1.0,2023-03-18 16:10:00,2023-03-18 17:54:00,,2023-03-18 20:39:00,2023-03-18 22:23:00,104.0
J056,M01,Completed,11.91,0.006666666666666667,2023-03-18 17:10:00,2023-03-18 18:54:00,,2023-03-18 22:23:00,2023-03-19 00:07:00,104.0
J058,M01,Completed,8.42,0.02,2023-03-18 17:30:00,2023-03-18 18:53:00,,2023-03-19 00:07:00,2023-03-19 01:30:00,83.0
J060,M01,Completed,8.69,0.0,2023-03-18 17:50:00,2023-03-18 18:56:00,,2023-03-19 01:30:00,2023-03-19 02:36:00,66.0
J076,M01,Failed,10.01,0.94,2023-03-18 20:30:00,2023-03-18 22:09:00,,2023-03-19 02:36:00,2023-03-19 04:15:00,99.0
J077,M01,Completed,7.46,0.0,2023-03-18 20:40:00,2023-03-18 21:42:00,,2023-03-19 04:15:00,2023-03-19 05:17:00,62.0
J082,M01,Completed,13.39,0.006666666666666667,2023-03-18 21:30:00,2023-03-18 21:54:00,,2023-03-19 05:17:00,2023-03-19 05:41:00,24.0
J111,M01,Completed,13.26,0.006666666666666667,2023-03-19 02:20:00,2023-03-19 04:19:00,,2023-03-19 05:41:00,2023-03-19 07:40:00,119.0
J113,M01,Completed,2.25,0.0,2023-03-19 02:40:00,2023-03-19 04:23:00,,2023-03-19 07:40:00,2023-03-19 09:23:00,103.0
J114,M01,Delayed,4.36,0.9933333333333333,2023-03-19 02:50:00,2023-03-19 04:46:00,,2023-03-19 09:23:00,2023-03-19 11:19:00,116.0
J124,M01,Completed,4.42,0.0,2023-03-19 04:30:00,2023-03-19 05:10:00,,2023-03-19 11:19:00,2023-03-19 11:59:00,40.0
J126,M01,Completed,5.07,0.0,2023-03-19 04:50:00,2023-03-19 06:00:00,,2023-03-19 11:59:00,2023-03-19 13:09:00,70.0
J132,M01,Delayed,10.68,1.0,2023-03-19 05:50:00,2023-03-19 07:00:00,,2023-03-19 13:09:00,2023-03-19 14:19:00,70.0
J133,M01,Completed,6.51,0.006666666666666667,2023-03-19 06:00:00,2023-03-19 07:25:00,,2023-03-19 14:19:00,2023-03-19 15:44:00,85.0
J135,M01,Completed,8.31,0.013333333333333334,2023-03-19 06:20:00,2023-03-19 06:43:00,,2023-03-19 15:44:00,2023-03-19 16:07:00,23.0
J137,M01,Completed,11.79,0.0,2023-03-19 06:40:00,2023-03-19 08:11:00,,2023-03-19 16:07:00,2023-03-19 17:38:00,91.0
J146,M01,Failed,2.21,0.9866666666666667,2023-03-19 08:10:00,2023-03-19 09:12:00,,2023-03-19 17:38:00,2023-03-19 18:40:00,62.0
J148,M01,Completed,9.65,0.0,2023-03-19 08:30:00,2023-03-19 09:09:00,,2023-03-19 18:40:00,2023-03-19 19:19:00,39.0
J160,M01,Completed,9.57,0.006666666666666667,2023-03-19 10:30:00,2023-03-19 12:28:00,,2023-03-19 19:19:00,2023-03-19 21:17:00,118.0
J162,M01,Completed,11.7,0.0,2023-03-19 10:50:00,2023-03-19 11:48:00,,2023-03-19 21:17:00,2023-03-19 22:15:00,58.0
J163,M01,Completed,10.4,0.0,2023-03-19 11:00:00,2023-03-19 11:43:00,,2023-03-19 22:15:00,2023-03-19 22:58:00,43.0
J167,M01,Completed,7.2,0.006666666666666667,2023-03-19 11:40:00,2023-03-19 12:15:00,,2023-03-19 22:58:00,2023-03-19 23:33:00,35.0
J174,M01,Delayed,12.49,1.0,2023-03-19 12:50:00,2023-03-19 14:43:00,,2023-03-19 23:33:00,2023-03-20 01:26:00,113.0
J178,M01,Completed,10.58,0.0,2023-03-19 13:30:00,2023-03-19 14:52:00,,2023-03-20 01:26:00,2023-03-20 02:48:00,82.0
J182,M01,Failed,6.22,0.9866666666666667,2023-03-19 14:10:00,2023-03-19 15:29:00,,2023-03-20 02:48:00,2023-03-20 04:07:00,79.0
J186,M01,Completed,12.13,0.013333333333333334,2023-03-19 14:50:00,2023-03-19 16:00:00,,2023-03-20 04:07:00,2023-03-20 05:17:00,70.0
J191,M01,Completed,5.81,0.006666666666666667,2023-03-19 15:40:00,2023-03-19 17:34:00,,2023-03-20 05:17:00,2023-03-20 07:11:00,114.0
J208,M01,Completed,5.06,0.013333333333333334,2023-03-19 18:30:00,2023-03-19 18:50:00,,2023-03-20 07:11:00,2023-03-20 07:31:00,20.0
J209,M01,Delayed,11.95,0.9933333333333333,2023-03-19 18:40:00,2023-03-19 20:26:00,,2023-03-20 07:31:00,2023-03-20 09:17:00,106.0
J212,M01,Completed,4.27,0.0,2023-03-19 19:10:00,2023-03-19 20:46:00,,2023-03-20 09:17:00,2023-03-20 10:53:00,96.0
J216,M01,Completed,10.46,0.0,2023-03-19 19:50:00,2023-03-19 20:32:00,,2023-03-20 10:53:00,2023-03-20 11:35:00,42.0
J223,M01,Failed,10.74,0.9866666666666667,2023-03-19 21:00:00,2023-03-19 21:58:00,,2023-03-20 11:35:00,2023-03-20 12:33:00,58.0
J229,M01,Completed,13.77,0.0,2023-03-19 22:00:00,2023-03-19 22:59:00,,2023-03-20 12:33:00,2023-03-20 13:32:00,59.0
J230,M01,Completed,11.13,0.0,2023-03-19 22:10:00,2023-03-19 23:15:00,,2023-03-20 13:32:00,2023-03-20 14:37:00,65.0
J232,M01,Completed,11.48,0.0,2023-03-19 22:30:00,2023-03-20 00:16:00,,2023-03-20 14:37:00,2023-03-20 16:23:00,106.0
