Job_ID,Machine_ID,Job_Status,orig_Scheduled_start,orig_Scheduled_end,pred_abnormal_prob,optimized_start,optimized_end,Processing_Time,Energy_Consumption,tardiness_min
J001,M01,Completed,2023-03-18 08:00:00,2023-03-18 09:16:00,0.0,2023-04-04 12:51:00,2023-04-04 14:07:00,76.0,11.42,24771.0
J002,M01,Delayed,2023-03-18 08:10:00,2023-03-18 09:29:00,1.0,2023-04-04 11:32:00,2023-04-04 12:51:00,79.0,6.61,24682.0
J003,M04,Failed,2023-03-18 08:20:00,2023-03-18 09:16:00,0.9866666666666667,2023-04-04 01:03:00,2023-04-04 01:59:00,56.0,11.11,24043.0
J004,M04,Completed,2023-03-18 08:30:00,2023-03-18 10:16:00,0.006666666666666667,2023-04-03 23:17:00,2023-04-04 01:03:00,106.0,12.5,23927.0
J005,M01,Completed,2023-03-18 08:40:00,2023-03-18 09:26:00,0.0,2023-04-04 10:46:00,2023-04-04 11:32:00,46.0,8.13,24606.0
J006,M02,Completed,2023-03-18 08:50:00,2023-03-18 10:30:00,0.006666666666666667,2023-04-04 23:45:00,2023-04-05 01:25:00,100.0,13.83,25375.0
J007,M04,Completed,2023-03-18 09:00:00,2023-03-18 09:22:00,0.0,2023-04-03 22:55:00,2023-04-03 23:17:00,22.0,14.2,23875.0
J008,M05,Completed,2023-03-18 09:10:00,2023-03-18 10:29:00,0.0,2023-04-05 00:06:00,2023-04-05 01:25:00,79.0,13.86,25376.0
J009,M02,Completed,2023-03-18 09:20:00,2023-03-18 10:02:00,0.0,2023-04-04 23:03:00,2023-04-04 23:45:00,42.0,8.97,25303.0
J010,M01,Delayed,2023-03-18 09:30:00,2023-03-18 09:57:00,0.9933333333333333,2023-04-04 10:19:00,2023-04-04 10:46:00,27.0,3.66,24529.0
J011,M01,Completed,2023-03-18 09:40:00,2023-03-18 10:45:00,0.0,2023-04-04 09:14:00,2023-04-04 10:19:00,65.0,9.98,24454.0
J012,M03,Delayed,2023-03-18 09:50:00,2023-03-18 10:18:00,0.9866666666666667,2023-04-03 06:26:00,2023-04-03 06:54:00,28.0,8.08,22836.0
J013,M03,Completed,2023-03-18 10:00:00,2023-03-18 10:43:00,0.0,2023-04-03 05:43:00,2023-04-03 06:26:00,43.0,5.55,22783.0
J014,M04,Completed,2023-03-18 10:10:00,2023-03-18 12:02:00,0.013333333333333334,2023-04-03 21:03:00,2023-04-03 22:55:00,112.0,2.01,23693.0
J015,M05,Completed,2023-03-18 10:20:00,2023-03-18 12:04:00,0.0,2023-04-04 22:22:00,2023-04-05 00:06:00,104.0,3.67,25202.0
J016,M01,Completed,2023-03-18 10:30:00,2023-03-18 11:35:00,0.0,2023-04-04 08:09:00,2023-04-04 09:14:00,65.0,12.29,24339.0
J017,M03,Completed,2023-03-18 10:40:00,2023-03-18 12:35:00,0.0,2023-04-03 03:48:00,2023-04-03 05:43:00,115.0,9.44,22628.0
J018,M05,Completed,2023-03-18 10:50:00,2023-03-18 11:45:00,0.0,2023-04-04 21:27:00,2023-04-04 22:22:00,55.0,10.95,25117.0
J019,M02,Completed,2023-03-18 11:00:00,2023-03-18 11:52:00,0.013333333333333334,2023-04-04 22:11:00,2023-04-04 23:03:00,52.0,3.27,25151.0
J020,M05,Completed,2023-03-18 11:10:00,2023-03-18 11:52:00,0.0,2023-04-04 20:45:00,2023-04-04 21:27:00,42.0,14.19,25055.0
J021,M02,Completed,2023-03-18 11:20:00,2023-03-18 13:07:00,0.0,2023-04-04 20:24:00,2023-04-04 22:11:00,107.0,13.73,25024.0
J022,M03,Delayed,2023-03-18 11:30:00,2023-03-18 12:34:00,1.0,2023-04-03 02:44:00,2023-04-03 03:48:00,64.0,4.14,22514.0
J023,M01,Completed,2023-03-18 11:40:00,2023-03-18 13:18:00,0.0,2023-04-04 06:31:00,2023-04-04 08:09:00,98.0,13.49,24171.0
J024,M02,Delayed,2023-03-18 11:50:00,2023-03-18 13:14:00,0.9733333333333334,2023-04-04 19:00:00,2023-04-04 20:24:00,84.0,8.81,24910.0
J025,M04,Failed,2023-03-18 12:00:00,2023-03-18 13:59:00,0.9533333333333334,2023-04-03 19:04:00,2023-04-03 21:03:00,119.0,5.1,23464.0
J026,M01,Completed,2023-03-18 12:10:00,2023-03-18 12:31:00,0.0,2023-04-04 06:10:00,2023-04-04 06:31:00,21.0,3.89,24120.0
J027,M03,Failed,2023-03-18 12:20:00,2023-03-18 13:47:00,0.9666666666666667,2023-04-03 01:17:00,2023-04-03 02:44:00,87.0,11.34,22377.0
J028,M03,Completed,2023-03-18 12:30:00,2023-03-18 14:03:00,0.0,2023-04-02 23:44:00,2023-04-03 01:17:00,93.0,4.16,22274.0
J029,M02,Completed,2023-03-18 12:40:00,2023-03-18 14:36:00,0.02,2023-04-04 17:04:00,2023-04-04 19:00:00,116.0,5.39,24744.0
J030,M05,Completed,2023-03-18 12:50:00,2023-03-18 13:56:00,0.006666666666666667,2023-04-03 12:13:00,2023-04-03 13:19:00,66.0,10.36,23003.0
J031,M03,Completed,2023-03-18 13:00:00,2023-03-18 13:37:00,0.0,2023-04-02 23:07:00,2023-04-02 23:44:00,37.0,3.21,22207.0
J032,M03,Completed,2023-03-18 13:10:00,2023-03-18 14:28:00,0.0,2023-04-02 21:49:00,2023-04-02 23:07:00,78.0,4.93,22119.0
J033,M04,Delayed,2023-03-18 13:20:00,2023-03-18 15:03:00,1.0,2023-04-03 17:21:00,2023-04-03 19:04:00,103.0,8.02,23281.0
J034,M01,Delayed,2023-03-18 13:30:00,2023-03-18 15:20:00,0.9933333333333333,2023-04-04 04:20:00,2023-04-04 06:10:00,110.0,12.52,23930.0
J035,M02,Completed,2023-03-18 13:40:00,2023-03-18 14:27:00,0.013333333333333334,2023-04-04 16:17:00,2023-04-04 17:04:00,47.0,12.12,24637.0
J036,M04,Completed,2023-03-18 13:50:00,2023-03-18 15:29:00,0.0,2023-04-03 15:42:00,2023-04-03 17:21:00,99.0,4.72,23152.0
J037,M01,Completed,2023-03-18 14:00:00,2023-03-18 15:19:00,0.0,2023-04-04 03:01:00,2023-04-04 04:20:00,79.0,13.17,23821.0
J038,M01,Completed,2023-03-18 14:10:00,2023-03-18 14:53:00,0.0,2023-04-04 02:18:00,2023-04-04 03:01:00,43.0,4.98,23768.0
J039,M02,Failed,2023-03-18 14:20:00,2023-03-18 15:08:00,0.9933333333333333,2023-04-04 15:29:00,2023-04-04 16:17:00,48.0,10.65,24549.0
J040,M01,Completed,2023-03-18 14:30:00,2023-03-18 15:20:00,0.0,2023-04-04 01:28:00,2023-04-04 02:18:00,50.0,9.94,23698.0
J041,M04,Completed,2023-03-18 14:40:00,2023-03-18 16:08:00,0.006666666666666667,2023-04-03 14:14:00,2023-04-03 15:42:00,88.0,11.64,23014.0
J042,M04,Completed,2023-03-18 14:50:00,2023-03-18 15:38:00,0.0,2023-04-03 13:26:00,2023-04-03 14:14:00,48.0,13.57,22956.0
J043,M03,Completed,2023-03-18 15:00:00,2023-03-18 16:15:00,0.013333333333333334,2023-04-02 20:34:00,2023-04-02 21:49:00,75.0,4.53,21934.0
J044,M02,Completed,2023-03-18 15:10:00,2023-03-18 16:59:00,0.013333333333333334,2023-04-04 13:40:00,2023-04-04 15:29:00,109.0,5.67,24390.0
